,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R
52,6,11,Male,1,2,,,NA,NA,NA,NA,NA,0,0,6,5,5,5,5,4,4,4.9,7,5,NA,7,2,5,5.2,6,4,6,5,4,5,4.9,5.2,5,NA,NA,0,4.8
53,6,11,Male,1,3,,,NA,NA,NA,NA,NA,0,0,7,7,7,7,7,7,7,7,6,5,7,6,6,6,6,7,6,7,7,6,6.6,7,6,6.6,NA,NA,0,7
54,6,11,Male,1,2,,,NA,NA,NA,NA,NA,0,0,7,4,6,7,5,5,5,5.6,2,6,5,7,6,7,5.5,7,6,6,4,3,5.2,5.6,5.5,5.2,NA,NA,0,5.2
55,6,11,Female,1,1,,,NA,NA,NA,NA,NA,0,0,4,2,2,2,1,6,1,2.6,5,1,2,3,2,1,2.3,1,3,2,3,1,2,2.6,2.3,2,NA,NA,0,2.8
56,6,12,Female,1,1,,,NA,NA,NA,NA,NA,0,0,5,1,5,6,6,2,1,3.7,2,1,4,7,3,2,3.2,7,2,4,3,3,3.8,3.7,3.2,3.8,NA,NA,0,3
57,6,11,Male,1,2,,,NA,NA,NA,NA,NA,0,0,3,5,4,4,6,5,3,4.3,2,5,3,4,3,3,3.3,3,1,5,7,5,4.2,4.3,3.3,4.2,NA,NA,0,4.4
58,6,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,7,4,4,7,5,3,4,4.9,2,1,4,1,4,3,2.5,4,4,3,6,2,3.8,4.9,2.5,3.8,NA,NA,0,4.6
59,6,11,Female,1,2,,,NA,NA,NA,NA,NA,0,0,1,1,1,2,1,1,1,1.1,1,2,1,1,1,1,1.2,3,2,2,1,2,2,1.1,1.2,2,NA,NA,0,1
60,8,13,Female,1,1,,,NA,NA,NA,NA,NA,0,0,7,7,7,7,6,6,4,6.3,4,6,5,7,6,6,5.7,4,6,6,6,6,5.6,6.3,5.7,5.6,NA,NA,0,6
61,6,12,Female,1,2,,,NA,NA,NA,NA,NA,0,0,3,5,7,7,6,4,7,5.6,3,5,6,4,2,5,4.2,5,2,7,3,6,4.6,5.6,4.2,4.6,NA,NA,0,5
62,8,13,Female,1,2,,,NA,NA,NA,NA,NA,0,0,3,2,3,3,2,1,1,2.1,5,NA,2,4,2,1,2.8,4,3,4,3,3,3.4,2.1,2.8,3.4,NA,NA,0,1.8
63,8,13,Female,1,1,,,NA,NA,NA,NA,NA,0,0,2,2,2,2,2,2,2,2,5,4,4,4,3,4,4,2,1,4,3,2,2.4,2,4,2.4,NA,NA,0,2
64,8,14,Female,1,1,,,NA,NA,NA,NA,NA,0,0,2,2,1,2,5,2,2,2.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2.3,2,2,NA,NA,0,2.6
65,8,15,Male,1,1,,,NA,NA,NA,NA,NA,0,0,6,4,7,7,5,6,5,5.7,7,4,5,4,4,5,4.8,7,4,7,7,4,5.8,5.7,4.8,5.8,NA,NA,0,5.2
66,8,14,Female,1,2,,,NA,NA,NA,NA,NA,0,0,6,7,6,7,5,7,7,6.4,7,5,5,7,2,7,5.5,5,3,4,4,4,4,6.4,5.5,4,NA,NA,0,6.4
67,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1.4,1,1,1.4,NA,NA,0,1
68,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,0,1
69,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,5,5,5,3,5,5,3,4.4,7,5,3,6,6,5,5.3,5,4,5,6,4,4.8,4.4,5.3,4.8,NA,NA,0,4.6
70,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,0,4
71,8,13,Male,1,2,,,NA,NA,NA,NA,NA,0,0,4,4,5,5,3,3,3,3.9,3,2,2,1,1,1,1.7,5,5,6,6,6,5.6,3.9,1.7,5.6,NA,NA,0,3.4
72,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,4,3,2,2,2,2,2,2.4,5,1,2,3,2,2,2.5,1,1,1,2,2,1.4,2.4,2.5,1.4,NA,NA,0,2.6
73,8,14,Female,1,1,,,NA,NA,NA,NA,NA,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,4,6,NA,NA,0,4
