,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,DBN_Total_N,DBN_POMP_N,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R,PerfAndControl
191,7,12,0,1,1,1,0,0,0,1,0,2,33,,,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,7,2
192,7,12,1,1,2,1,0,0,0,1,0,2,33,,,1,7,7,7,7,7,6,7,6.9,6,6,6,6,3,6,5.5,7,6,4,6,5,5.6,6.9,5.5,5.6,1,1,2,6.8,2
193,6,11,0,1,2,0,1,0,0,1,0,2,33,,,1,7,7,7,7,7,7,5,6.7,7,4,4,5,5,6,5.2,7,7,7,7,7,7,6.7,5.2,7,1,1,2,6.6,2
194,7,12 1/2,0,1,2,0,0,1,0,1,0,2,33,,,1,3,6,4,5,4,3,5,4.3,2,2,2,1,2,1,1.7,5,6,5,4,7,5.4,4.3,1.7,5.4,1,1,2,4.2,2
195,6,11,1,1,1,1,1,0,0,0,0,2,33,,,1,5,5,2,2,5,6,6,4.4,4,6,5,7,6,6,5.7,3,2,5,4,6,4,4.4,5.7,4,1,1,2,5.4,2
196,7,13,0,1,1,0,0,1,0,1,0,2,33,,,1,3,4,2,3,4,4,4,3.4,3,3,3,3,4,4,3.3,4,3,3,3,1,2.8,3.4,3.3,2.8,1,1,2,3.8,2
197,7,13,0,1,2,0,1,1,0,0,0,2,33,,,1,6,6,5,5,6,6,4,5.4,7,7,7,7,7,7,7,7,7,7,7,7,7,5.4,7,7,1,1,2,5.6,2
198,6,13,0,1,2,1,1,0,0,0,0,2,33,,,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6.7,2,2,3,7,7,4.2,7,6.7,4.2,1,1,2,7,2
199,6,11,0,1,1,0,1,1,0,0,0,2,33,,,1,4,4,1,1,1,1,1,1.9,4,1,1,1,4,4,2.5,4,4,4,4,4,4,1.9,2.5,4,1,1,2,2.2,2
200,6,11,1,1,1,0,1,0,0,1,0,2,33,,,1,1,1,7,1,1,1,1,1.9,1,1,1,1,2,3,1.5,1,1,1,1,1,1,1.9,1.5,1,1,1,2,1,2
