Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
6,11,F,Y,A little bit,Doctor,"Doctor, RN",Y,Y,0,0,0,0,0,0,0,0,4,4,4,3,3,5,4,3.9,3,7,6,7,2,5,5.0,4,7,4,,5,5
6,12,M,Y,Some,College  Engineer,College  Nurse,Y,Y,1,1,1,0,1,0,4,67,5,4,6,7,6,7,6,5.9,6,7,1,7,4,7,5.3,7,5,7,7,4,6
6,11,M,Y,Some,College,,Y,Y,0,0,0,0,0,0,0,0,5,3,3,4,2,5,5,3.9,6,4,5,4,3,5,4.5,6,4,3,5,6,4.8
6,11,M,Y,A little bit,College,Daycare Owner,Y,Y,0,0,0,0,0,0,0,0,7,6,2,4,5,6,3,4.7,4,6,3,5,5,7,5.0,7,7,7,7,7,7
7,15,F,Y,A little bit,,,Y,N,0,0,0,0,1,0,1,17,2,3,1,1,1,1,1,1.4,1,4,1,1,1,1,1.5,1,1,1,1,1,1
6,12,F,Y,A little bit,Retired Stopped at high school,Retired Finished school,Y,Y,0,0,0,0,1,0,1,17,4,4,4,3,3,4,4,3.7,1,7,4,6,7,4,4.8,1,4,5,2,7,3.8
6,11,F,Y,A little bit,College,Nurse/Aid,Y,Y,0,0,0,0,0,0,0,0,4,3,7,6,2,4,3,4.1,7,4,1,1,4,3,3.3,4,4,7,6,4,5
6,11,F,Y,A lot,Computer tech,Nurse,Y,Y,0,0,0,0,1,0,1,17,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,7,6,7,7,7,6.8
7,13,F,N,A little bit,College,,N,N,0,0,0,0,0,0,0,0,5,4,3,3,5,7,7,4.9,6,6,5,6,7,7,6.2,5,6,6,7,7,6.2
6,11,M,Y,A lot,College,College,Y,N,0,0,0,0,1,0,1,17,7,7,7,7,7,7,7,7.0,7,7,7,7,7,7,7.0,7,6,7,7,7,6.8
